2024,Jan,Sun,,Moon,,,Tide,,,,2024,Feb,Sun,,Moon,,,Tide,,,,2024,Mar,Sun,,Moon,,,Tide,,
,,,,,,,05:24,1.5 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11:13,2.9 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17:52,0.5 m,L,,,,,,,,,,,,,,,,,,,,,,
,25,7.16 am,7.21 pm,8.01 pm,7.43 am,1,00:35,2.7 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,05:50,1.3 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11:43,3.0 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,18:22,0.5 m,L,,,,,,,,,,,,,,,,,,,,,,
,26,7.16 am,7.21 pm,8.41 pm,8.21 am,0.99,00:45,2.7 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,06:18,1.2 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,12:13,3.0 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,18:54,0.5 m,L,,,,,,,,,,,,,,,,,,,,,,
,27,7.15 am,7.20 pm,9.20 pm,9.00 am,0.96,00:58,2.8 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,06:48,1.0 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,12:43,3.0 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19:22,0.6 m,L,,,,,,,,,,,,,,,,,,,,,,
,28,7.15 am,7.20 pm,10.01 pm,9.38 am,0.91,01:16,2.8 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,07:18,0.9 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,13:15,3.0 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19:46,0.8 m,L,,,,,,,,,,,,,,,,,,,,,,
,29,7.15 am,7.20 pm,10.43 pm,10.18 am,0.85,01:35,2.8 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,07:46,0.9 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,13:46,2.8 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20:01,0.9 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Mar,Sun,,Moon,,,Tide,,,,,,,,,,,,,,,,,,,,,,,,
,,Rise,Set,Rise,Set,Fraction,Time,Height,H/L,,,,,,,,,,,,,,,,,,,,,,
,1,7.15 am,7.20 pm,11.28 pm,11.01 am,0.78,01:56,2.8 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,08:15,0.9 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14:22,2.7 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20:15,1.1 m,L,,,,,,,,,,,,,,,,,,,,,,
,2,7.15 am,7.20 pm,NIL,11.47 am,0.7,02:18,2.8 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,08:46,0.9 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,15:03,2.4 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20:35,1.3 m,L,,,,,,,,,,,,,,,,,,,,,,
,3,7.14 am,7.20 pm,12.17 am,12.37 pm,0.6,02:46,2.8 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,09:31,0.9 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16:03,2.2 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,21:03,1.5 m,L,,,,,,,,,,,,,,,,,,,,,,
,4,7.14 am,7.19 pm,1.11 am,1.32 pm,0.5,03:22,2.7 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,10:46,1.0 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17:50,2.0 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,21:48,1.8 m,L,,,,,,,,,,,,,,,,,,,,,,
,5,7.14 am,7.19 pm,2.09 am,2.31 pm,0.39,04:15,2.5 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,12:26,0.9 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,21:01,2.1 m,H,,,,,,,,,,,,,,,,,,,,,,
,6,7.14 am,7.19 pm,3.09 am,3.33 pm,0.29,00:09,2.0 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,05:43,2.4 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,13:54,0.8 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,22:01,2.3 m,H,,,,,,,,,,,,,,,,,,,,,,
,7,7.13 am,7.19 pm,4.10 am,4.34 pm,0.19,02:28,1.9 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,08:07,2.5 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,15:07,0.6 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,22:41,2.5 m,H,,,,,,,,,,,,,,,,,,,,,,
,8,7.13 am,7.19 pm,5.09 am,5.33 pm,0.11,03:43,1.7 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,09:20,2.7 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16:03,0.4 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23:13,2.7 m,H,,,,,,,,,,,,,,,,,,,,,,
,9,7.13 am,7.18 pm,6.06 am,6.29 pm,0.05,04:28,1.5 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,10:11,3.0 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16:52,0.3 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23:39,2.8 m,H,,,,,,,,,,,,,,,,,,,,,,
,10,7.12 am,7.18 pm,6.59 am,7.23 pm,0.01,05:07,1.2 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,10:56,3.2 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17:37,0.2 m,L,,,,,,,,,,,,,,,,,,,,,,
,11,7.12 am,7.18 pm,7.51 am,8.15 pm,0,00:00,2.9 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,05:48,1.0 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11:41,3.4 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,18:22,0.3 m,L,,,,,,,,,,,,,,,,,,,,,,
,12,7.12 am,7.18 pm,8.41 am,9.07 pm,0.03,00:24,3.0 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,06:30,0.7 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,12:28,3.4 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19:05,0.4 m,L,,,,,,,,,,,,,,,,,,,,,,
,13,7.12 am,7.18 pm,9.32 am,10.00 pm,0.08,00:52,3.0 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,07:11,0.5 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,13:18,3.3 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19:45,0.7 m,L,,,,,,,,,,,,,,,,,,,,,,
,14,7.11 am,7.17 pm,10.24 am,10.54 pm,0.15,01:22,3.0 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,07:52,0.4 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14:15,3.1 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20:22,1.0 m,L,,,,,,,,,,,,,,,,,,,,,,
,15,7.11 am,7.17 pm,11.18 am,11.50 pm,0.24,01:52,3.0 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,08:33,0.4 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,15:13,2.8 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20:54,1.3 m,L,,,,,,,,,,,,,,,,,,,,,,
,16,7.11 am,7.17 pm,12.14 pm,NIL,0.34,02:22,2.9 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,09:20,0.5 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16:15,2.5 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,21:22,1.6 m,L,,,,,,,,,,,,,,,,,,,,,,
,17,7.10 am,7.17 pm,1.11 pm,12.47 am,0.45,02:56,2.8 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,10:16,0.6 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17:33,2.2 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,21:54,1.9 m,L,,,,,,,,,,,,,,,,,,,,,,
,18,7.10 am,7.16 pm,2.06 pm,1.44 am,0.55,03:35,2.6 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11:37,0.8 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20:18,2.1 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23:03,2.1 m,H,,,,,,,,,,,,,,,,,,,,,,
,19,7.10 am,7.16 pm,2.59 pm,2.38 am,0.65,04:37,2.4 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,13:18,0.9 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,21:54,2.3 m,H,,,,,,,,,,,,,,,,,,,,,,
,20,7.09 am,7.16 pm,3.49 pm,3.29 am,0.74,02:37,2.1 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,07:22,2.2 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,15:00,0.8 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,22:31,2.4 m,H,,,,,,,,,,,,,,,,,,,,,,
,21,7.09 am,7.16 pm,4.36 pm,4.17 am,0.82,03:54,1.8 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,09:05,2.4 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,15:56,0.7 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23:00,2.5 m,H,,,,,,,,,,,,,,,,,,,,,,
,22,7.09 am,7.15 pm,5.19 pm,5.01 am,0.89,04:22,1.6 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,09:56,2.6 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16:31,0.6 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23:18,2.5 m,H,,,,,,,,,,,,,,,,,,,,,,
,23,7.08 am,7.15 pm,6.01 pm,5.42 am,0.94,04:43,1.4 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,10:31,2.7 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17:00,0.6 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23:31,2.6 m,H,,,,,,,,,,,,,,,,,,,,,,
,24,7.08 am,7.15 pm,6.40 pm,6.21 am,0.98,05:01,1.2 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11:01,2.8 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17:28,0.6 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23:41,2.6 m,H,,,,,,,,,,,,,,,,,,,,,,
,25,7.08 am,7.14 pm,7.20 pm,7.00 am,1,05:28,1.0 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11:30,2.9 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17:58,0.6 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23:50,2.7 m,H,,,,,,,,,,,,,,,,,,,,,,
,26,7.07 am,7.14 pm,8.00 pm,7.38 am,1,05:56,0.8 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11:58,2.9 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,18:28,0.7 m,L,,,,,,,,,,,,,,,,,,,,,,
,27,7.07 am,7.14 pm,8.42 pm,8.18 am,0.98,00:05,2.8 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,06:24,0.7 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,12:30,2.9 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,18:54,0.8 m,L,,,,,,,,,,,,,,,,,,,,,,
,28,7.07 am,7.14 pm,9.26 pm,8.59 am,0.95,00:26,2.9 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,06:52,0.6 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,13:03,2.8 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19:15,1.0 m,L,,,,,,,,,,,,,,,,,,,,,,
,29,7.06 am,7.13 pm,10.14 pm,9.44 am,0.9,00:48,2.9 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,07:18,0.6 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,13:37,2.7 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19:30,1.1 m,L,,,,,,,,,,,,,,,,,,,,,,
,30,7.06 am,7.13 pm,11.05 pm,10.33 am,0.83,01:13,2.9 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,07:43,0.5 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14:15,2.6 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19:46,1.3 m,L,,,,,,,,,,,,,,,,,,,,,,
,31,7.06 am,7.13 pm,NIL,11.26 am,0.75,01:41,2.9 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,08:16,0.5 m,L,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,15:01,2.4 m,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20:11,1.4 m,L,,,,,,,,,,,,,,,,,,,,,,
